doy,tmax_C,tmin_C,precip_mm,rh_max_pct,rh_min_pct,solar_MJ_m2,tmax_C_7d_median,tmin_C_7d_median,precip_mm_7d_median,rh_max_pct_7d_median,rh_min_pct_7d_median,solar_MJ_m2_7d_median,tmax_C_30d_median,tmin_C_30d_median,precip_mm_30d_median,rh_max_pct_30d_median,rh_min_pct_30d_median,solar_MJ_m2_30d_median
75,38.5,26.3,0.0,73.0,25.0,23.43,38.04285714285714,26.371428571428574,0.0,70.85714285714286,25.714285714285715,22.830000000000002,38.17666666666666,26.45,0.0,70.3,24.966666666666665,23.010666666666665
76,38.0,26.5,0.0,69.0,25.0,22.52,38.07142857142857,26.414285714285715,0.0,71.14285714285714,25.428571428571427,22.851428571428574,38.17999999999999,26.493333333333332,0.0,70.43333333333334,25.2,23.026666666666667
77,38.2,26.3,0.0,71.0,24.0,22.67,38.142857142857146,26.542857142857144,0.0,71.28571428571429,25.428571428571427,22.915714285714284,38.19666666666667,26.516666666666666,0.0033333333333333335,70.6,25.433333333333334,23.050333333333334
78,38.0,26.8,0.0,70.0,27.0,22.51,38.18571428571429,26.557142857142853,0.0,71.28571428571429,25.714285714285715,22.965714285714284,38.18999999999999,26.55,0.0033333333333333335,70.83333333333333,25.8,23.048333333333336
79,38.0,26.8,0.0,70.0,25.0,22.76,38.07142857142857,26.58571428571429,0.0,71.28571428571429,26.428571428571427,22.85857142857143,38.193333333333335,26.566666666666666,0.0033333333333333335,71.06666666666666,26.033333333333335,23.055333333333333
80,38.5,26.7,0.0,73.0,26.0,23.59,38.05714285714286,26.557142857142857,0.0,72.42857142857143,27.142857142857142,22.864285714285717,38.18333333333333,26.57333333333333,0.0033333333333333335,71.2,26.266666666666666,23.05933333333333
81,38.1,26.5,0.0,73.0,28.0,23.28,38.0,26.47142857142857,0.0,73.0,27.857142857142858,22.897142857142853,38.14666666666666,26.58,0.013333333333333334,71.5,26.666666666666668,23.05966666666667
82,37.7,26.5,0.0,73.0,30.0,22.68,38.05714285714286,26.428571428571427,0.0,73.14285714285714,27.571428571428573,23.062857142857144,38.10666666666666,26.57,0.02333333333333333,71.83333333333333,27.066666666666666,23.041333333333334
83,37.9,26.3,0.0,77.0,30.0,22.56,38.114285714285714,26.428571428571427,0.0,73.42857142857143,27.571428571428573,23.205714285714286,38.083333333333336,26.566666666666666,0.026666666666666665,72.16666666666667,27.433333333333334,23.052666666666667
84,37.8,25.7,0.0,75.0,29.0,22.9,38.1,26.400000000000002,0.0,73.28571428571429,27.714285714285715,23.255714285714287,38.05333333333333,26.546666666666667,0.026666666666666665,72.5,27.8,23.041666666666668
85,38.4,26.5,0.0,71.0,25.0,23.67,38.15714285714286,26.47142857142857,0.0,72.85714285714286,27.714285714285715,23.275714285714287,38.03333333333333,26.563333333333333,0.029999999999999995,72.66666666666667,28.066666666666666,23.087
